codigo,cantidad,producto,descripcion,precio,ubicacion,precioCompra,ultimoProveedor,imagen,stockMinimo,categoria
,,C2383,ECG31,2.0,B2D8,1.0,,,1.0,TRANSISTOR
,,C2500,ECG2363,2.0,B2D8,1.0,,,1.0,TRANSISTOR
,,C2513,NO TIENE ECG,,,,,,,TRANSISTOR
,,C2570,ECG10,1.0,B2D8,0.5,,,1.0,TRANSISTOR
,,C2625,,7.0,B2D8,3.5,,,1.0,TRANSISTOR
,,C2655,ECG2363,1.0,B2D8,0.5,,,1.0,TRANSISTOR
,,C2688,NO TIENE ECG,2.0,B2D8,1.0,,,1.0,TRANSISTOR
,,C2705,ECG31,1.5,B2D9,0.75,,,1.0,TRANSISTOR
,,C2752,ECG2327,3.0,B2D9,1.5,,,1.0,TRANSISTOR
,,C3039,ECG379,4.0,B2D9,2.0,,,1.0,TRANSISTOR
,,C3090,ECG2348,8.0,B2D9,4.0,,,1.0,TRANSISTOR
,,C3153,ECG2309,7.0,B2D9,3.5,,,1.0,TRANSISTOR
,,C3203,ECG382,1.0,B2D10,0.5,,,1.0,TRANSISTOR
,,C3205,ECG11,1.0,B2D10,0.5,,,1.0,TRANSISTOR
,,C3207,ECG399,1.0,B2D10,0.5,,,1.0,TRANSISTOR
,,C3210,ECG2308,1.0,B2D10,0.5,,,1.0,TRANSISTOR
,,C3229,ECG171,4.0,B2D10,2.0,,,1.0,TRANSISTOR
,,C3231,ECG51,5.0,B2D10,2.5,,,1.0,TRANSISTOR
,,C3263,ECG2539,7.0,B2D11,3.5,,,1.0,TRANSISTOR
,,C3271,ECG157,3.0,B2D11,1.5,,,1.0,TRANSISTOR
,,C3281,ECG2328,7.0,B2D11,3.5,,,1.0,TRANSISTOR
,,C3298,ECG2576,3.0,B2D12,1.5,,,1.0,TRANSISTOR
,,C3306,ECG2308,6.0,B2D12,3.0,,,1.0,TRANSISTOR
,,C3420,ECG2513,3.0,B2D12,1.5,,,1.0,TRANSISTOR
,,C3457,ECG2339,4.0,B2D12,2.0,,,1.0,TRANSISTOR
,,C3552,ECG2348,7.0,B2D13,3.5,,,1.0,TRANSISTOR
,,C3553,ECG2361,1.0,B2D13,0.5,,,1.0,TRANSISTOR
,,C3675,NO TIENE ECG,4.0,B2D13,2.0,,,1.0,TRANSISTOR
,,C368,,1.0,B2D2,0.5,,,1.0,TRANSISTOR
,,C3691,NO TIENE ECG,5.0,B2D13,2.5,,,1.0,TRANSISTOR
,,C3795,ECG2337,6.0,B2D13,3.0,,,1.0,TRANSISTOR
,,C3807,ECG2504,2.0,B2D14,1.0,,,1.0,TRANSISTOR
,,C3852,ECG56,4.0,B2D14,2.0,,,1.0,TRANSISTOR
,,C3853,ECG390,8.0,B2D14,4.0,,,1.0,TRANSISTOR
,,C3856,ECG2328,8.0,B2D14,4.0,,,1.0,TRANSISTOR
,,C3858,ECG58,15.0,B2D15,7.5,,,1.0,TRANSISTOR
,,C3866,,6.0,B2D15,3.0,,,1.0,TRANSISTOR
,,C3907,ECG2328,8.0,B2D15,4.0,,,1.0,TRANSISTOR
,,C3927,ECG2348,8.0,B2D15,4.0,,,1.0,TRANSISTOR
,,C3953,ECG2508,4.0,B2D15,2.0,,,1.0,TRANSISTOR
,,C3973,,3.0,B2C1,1.5,,,1.0,TRANSISTOR
,,C3997,ECG2533,10.0,B2C1,5.0,,,1.0,TRANSISTOR
,,C3998,,10.0,B2C1,5.0,,,1.0,TRANSISTOR
,,C4056,,10.0,B2C2,5.0,,,1.0,TRANSISTOR
,,C4123,ECG2353,8.0,B2C2,4.0,,,1.0,TRANSISTOR
,,C4138,ECG2311,10.0,B2C2,5.0,,,1.0,TRANSISTOR
,,C4204,,1.0,B2C2,0.5,,,1.0,TRANSISTOR
,,C4236,ECG2348,8.0,B2C3,4.0,,,1.0,TRANSISTOR
,,C4237,ECG2348,8.0,B2C3,4.0,,,1.0,TRANSISTOR
,,C4242,ECG2312,4.0,B2C3,2.0,,,1.0,TRANSISTOR
,,C4408,,2.0,B2C3,1.0,,,1.0,TRANSISTOR
,,C4423,ECG2308,9.0,B2C4,4.5,,,1.0,TRANSISTOR
,,C4460,ECG2594,9.0,B2C4,4.5,,,1.0,TRANSISTOR
,,C4517,ECG2339,4.0,B2C3,2.0,,,1.0,TRANSISTOR
,,C4518,ECG2337,4.0,B2C3,2.0,,,1.0,TRANSISTOR
,,C4544,NO TIENE ECG,4.0,B2C4,2.0,,,1.0,TRANSISTOR
,,C4547,NO TIENE ECG,5.0,B2C4,2.5,,,1.0,TRANSISTOR
,,C4558,,2.0,A2A7,1.0,,,1.0,TRANSISTOR
,,C4558led,,2.0,A2A7,1.0,,,1.0,TRANSISTOR
,,C4580,,3.0,A2A7,1.5,,,1.0,TRANSISTOR
,,C4580led,,3.0,A2A7,1.5,,,1.0,TRANSISTOR
,,C4664,ECG2582,4.0,B2C5,2.0,,,1.0,TRANSISTOR
,,C4706,ECG2598,25.0,B2C5,12.5,,,1.0,TRANSISTOR
,,C4722,NO TIENE ECG,2.0,B2C5,1.0,,,1.0,TRANSISTOR
,,C4740,,1.0,B2C5,0.5,,,1.0,TRANSISTOR
,,C4762,ECG2353,8.0,B2C5,4.0,,,1.0,TRANSISTOR
,,C4770,ECG2324,8.0,B2C5,4.0,,,1.0,TRANSISTOR
,,C4793,ECG2648,12.0,B2C6,6.0,,,1.0,TRANSISTOR
,,C4834,,10.0,B2C6,5.0,,,1.0,TRANSISTOR
,,C4916,ECG2353,8.0,B2C6,4.0,,,1.0,TRANSISTOR
,,C4924,ECG2651,8.0,B2C6,4.0,,,1.0,TRANSISTOR
,,C4927,ECG2636,8.0,B2C7,4.0,,,1.0,TRANSISTOR
,,C495,ECG184,3.0,B2D2,1.5,,,1.0,TRANSISTOR
,,C4953,ECG2337,6.0,B2C7,3.0,,,1.0,TRANSISTOR
,,C5027,ECG399,4.0,B2C7,2.0,,,1.0,TRANSISTOR
,,C5088,ECG2643,8.0,B2C8,4.0,,,1.0,TRANSISTOR
,,C5148,ECG2324,8.0,B2C8,4.0,,,1.0,TRANSISTOR
,,C5149,ECG2353,8.0,B2C8,4.0,,,1.0,TRANSISTOR
,,C5198,ECG36,7.0,B2C9,3.5,,,1.0,TRANSISTOR
,,C5200,ECG2328,9.0,B2C9,4.5,,,1.0,TRANSISTOR
,,C5241,NO TIENE ECG,5.0,B2C9,2.5,,,1.0,TRANSISTOR
,,C5244,NO TIENE ECG,28.0,B2C10,14.0,,,1.0,TRANSISTOR
,,C5250,ECG2353,8.0,B2C10,4.0,,,1.0,TRANSISTOR
,,C5271,ECG2583,7.0,B2C10,3.5,,,1.0,TRANSISTOR
,,C5287,NO TIENE ECG,8.0,B2C10,4.0,,,1.0,TRANSISTOR
,,C5296,ECG2353,9.0,B2C11,4.5,,,1.0,TRANSISTOR
,,C5297,ECG2324,7.0,B2C11,3.5,,,1.0,TRANSISTOR
,,C5299,ECG2651,8.0,B2C12,4.0,,,1.0,TRANSISTOR
,,C532107,,8.0,A2A7,4.0,,,1.0,INTEGRADO
,,C5386,ECG2365,7.0,B2C12,3.5,,,1.0,TRANSISTOR
,,C5404,ECG2642,10.0,B2C12,5.0,,,1.0,TRANSISTOR
,,C5622,ECG2636,8.0,B2C13,4.0,,,1.0,TRANSISTOR
,,C575,,4.5,A2A7,2.25,,,1.0,INTEGRADO
,,C5802,ECG2651,9.0,B2C13,4.5,,,1.0,TRANSISTOR
,,C5856,NO TIENE ECG,8.0,B2C13,4.0,,,1.0,TRANSISTOR
,,C5885,ECG2679,8.0,B2C13,4.0,,,1.0,TRANSISTOR
,,C5902,NO TIENE ECG,8.0,B3C14,4.0,,,1.0,TRANSISTOR
,,C5929,,10.0,B2C14,5.0,,,1.0,TRANSISTOR
,,C5936,ECG2354,10.0,B2C14,5.0,,,1.0,TRANSISTOR
,,C6073,NO TIENE ECG,7.0,B2C15,3.5,,,1.0,TRANSISTOR
,,C6090,NO TIENE ECG,6.0,B2C15,3.0,,,1.0,TRANSISTOR
,,C6093,NO TIENE ECG,6.0,B2C15,3.0,,,1.0,TRANSISTOR
,,C815,ECG293,1.0,B2D2,0.5,,,1.0,TRANSISTOR
,,C8266,,8.0,B2C15,4.0,,,1.0,TRANSISTOR
,,C828,,1.0,B2D2,0.5,,,1.0,TRANSISTOR
,,C9012,ECG159,,,,,,,TRANSISTOR
,,C9018,NO TIENE ECG,1.0,B2C15,0.5,,,1.0,TRANSISTOR
,,C930,ECG107,1.0,B2D2,0.5,,,1.0,TRANSISTOR
,,C945,ECG85,1.0,B2D2,0.5,,,1.0,TRANSISTOR
,,CA3140,,5.0,A2A7,2.5,,,1.0,TRANSISTOR
,,CA5668,,10.0,A2A7,5.0,,,1.0,TRANSISTOR
,,CD1130,,,A2A8,,,,1.0,TRANSISTOR
,,CD1517,,12.0,A2A8,6.0,,,1.0,TRANSISTOR
,,CD40106,,5.0,B3B10,2.5,,,1.0,TRANSISTOR
,,CD4011BCN,,,A2A8,,,,1.0,TRANSISTOR
,,CD4013,,3.0,B3B7,1.5,,,1.0,TRANSISTOR
,,CD4016,,3.0,B3B7,1.5,,,1.0,TRANSISTOR
,,CD4017,,5.0,B3B7,2.5,,,1.0,TRANSISTOR
,,CD4021,,3.5,B3B8,1.75,,,1.0,TRANSISTOR
,,CD4047,,4.0,B3B8,2.0,,,1.0,TRANSISTOR
,,CD4052,,5.0,B3B8,2.5,,,1.0,TRANSISTOR
,,CD4052BE,,3.0,A2A8,1.5,,,1.0,TRANSISTOR
,,CD4053B,,3.0,A2A8,1.5,,,1.0,TRANSISTOR
,,CD4066,,5.0,A2A8,2.5,,,1.0,TRANSISTOR
,,CD4069,,4.0,A2A8,2.0,,,1.0,TRANSISTOR
,,CD4075,,5.0,B3B9,2.5,,,1.0,TRANSISTOR
,,CD4081,,4.0,B3B10,2.0,,,1.0,TRANSISTOR
,,CD4093,,5.0,B3B10,2.5,,,1.0,TRANSISTOR
,,CD4094,,6.0,B3B10,3.0,,,1.0,TRANSISTOR
,,CQ0765RT,,10.0,B2A13,5.0,,,1.0,INTEGRADO
,,CQ1265RT,,10.0,B2A13,5.0,,,1.0,INTEGRADO
,,CQ1565R,,14.0,B2A13,7.0,,,1.0,INTEGRADO
,,CSC2313,,10.0,A2A9,5.0,,,1.0,INTEGRADO
,,CSM2B4,,6.0,B2A13,3.0,,,1.0,INTEGRADO
,,CSM2BU,,8.0,A2A9,4.0,,,1.0,INTEGRADO
,,CX1081,,,A2A9,,,,1.0,INTEGRADO
,,CXA1013S,,35.0,A2A9,17.5,,,1.0,INTEGRADO
,,CXA1019,,6.0,A2A9,3.0,,,1.0,INTEGRADO
,,CXA1081S,,,A2A9,,,,1.0,INTEGRADO
,,CXA1082BS,,30.0,A2A9,15.0,,,1.0,INTEGRADO
,,CXA1291P,,,A2A10,,,,1.0,INTEGRADO
,,CXA1350,,,A2A10,,,,1.0,INTEGRADO
,,CXA1446S,,,A2A13,,,,1.0,INTEGRADO
,,CXA1465AS,,50.0,A2A10,25.0,,,1.0,INTEGRADO
,,CXA1538,,15.0,A2A10,7.5,,,1.0,INTEGRADO
,,CXA1691BM,,22.0,A2A11,11.0,,,1.0,INTEGRADO
,,CXA1691BS,,12.0,A2A11,6.0,,,1.0,INTEGRADO
,,CXA1870,,30.0,A2A11,15.0,,,1.0,INTEGRADO
,,CXA2025AS,,,A2A11,,,,1.0,INTEGRADO
,,CXA2131AS,,40.0,A2A11,20.0,,,1.0,INTEGRADO
,,CXD1130,,20.0,A2A13,10.0,,,1.0,INTEGRADO
,,CXD98740M,,,A2A13,,,,1.0,INTEGRADO
,,CXD9879AM,,50.0,A2A13,25.0,,,1.0,INTEGRADO
,,CXD9879M,,50.0,A2A13,25.0,,,1.0,INTEGRADO
,,CXP5034M,,,A2A13,,,,1.0,INTEGRADO
,,D1047,NPN GRANDE 12A 160V 100W 150 °C ECG36,6.0,B3C4,3.0,,,1.0,TRANSISTOR
,,D1064,NPN GRANDE 12A 60V 80W 150 °C ECG2304,6.0,B3C4,3.0,,,1.0,TRANSISTOR
,,D1092,NPN GRANDE 4A 55V 80W 150 °C ECG2330,6.0,B3C5,3.0,,,1.0,TRANSISTOR
,,D10V100,,10.0,A2A14,5.0,,,1.0,TRANSISTOR
,,D1207,NPN CHICO 2A 60V 1W 150 °C ECG2363,2.0,B3C5,1.0,,,1.0,TRANSISTOR
,,D1273,NPN MEDIANO 3A 80V 40W 150 °C ECG56,4.0,B3C5,2.0,,,1.0,TRANSISTOR
,,D1274,NPN MEDIANO 6A 160V 40W 150 °C ECG54,3.0,B3C5,1.5,,,1.0,TRANSISTOR
,,D1275,NPN MEDIANO 2A 60V 35W 150 °C ECG261,3.0,B3C5,1.5,,,1.0,TRANSISTOR
,,D1294,NPN GRANDE 5A 60V 80W 150 °C ECG2335,7.0,B3C5,3.5,,,1.0,TRANSISTOR
,,D1398,NPN GRANDE 5A 1500V 1200W 150 °C ECG2302,8.0,B3C6,4.0,,,1.0,TRANSISTOR
,,D1406,NPN MEDIANO 3A 60V 25W 150 °C,5.0,B3C6,2.5,,,1.0,TRANSISTOR
,,D1414,NPN MEDIANO 4A 100V 20W 150 °C ECG2547,5.0,B3C6,2.5,,,1.0,TRANSISTOR
,,D1439,NPN GRANDE 3A 1500V 50W 150 °C ECG2302,8.0,B3C6,4.0,,,1.0,TRANSISTOR
,,D1457,NPN GRANDE 6A 100V 60W 175 °C ECG377,7.0,B3C7,3.5,,,1.0,TRANSISTOR
,,D1458,NPN CHICO 0.7A 20V 1W 150 °C ECG16006,1.0,B3C7,0.5,,,1.0,TRANSISTOR
,,D1555,NPN GRANDE 5A 1500V 50W 150 °C ECG2331,7.0,B3C7,3.5,,,1.0,TRANSISTOR
,,D1556,NPN GRANDE 6A 1500V 50W 150 °C,8.0,B3C7,4.0,,,1.0,TRANSISTOR
,,D1577,NPN GRANDE 5A 1500V 100W 150 °C ECG2300,7.0,B3C7,3.5,,,1.0,TRANSISTOR
,,D1589,NPN MEDIANO 5A 150V 20W 150 °C,,,,,,,TRANSISTOR
,,D1632,NPN GRANDE 4A 1500V 80W 175 °C,6.0,B3C8,3.0,,,1.0,TRANSISTOR
,,D1651,NPN GRANDE 5A 1500V 60W 150 °C,6.0,B3C8,3.0,,,1.0,TRANSISTOR
,,D1711,NPN GRANDE 5A 1500V 100W 150 °C,7.0,B3C8,3.5,,,1.0,TRANSISTOR
,,D1762,NPN MEDIANO 3A 60V 25W 150 °C ECG2673,5.0,B3C8,2.5,,,1.0,TRANSISTOR
,,D1789,NPN MEDIANO 4A 200V 25W 150 °C ECG2553,9.0,B3C8,4.5,,,1.0,TRANSISTOR
,,D1796,NPN MEDIANO 4A 60V 25W 150 °C,5.0,B3C9,2.5,,,1.0,TRANSISTOR
,,D1825,NPN MEDIANO 4A 70V 20W 150 °C ECG2551,5.0,B3C9,2.5,,,1.0,TRANSISTOR
,,D1877,NPN GRANDE 4A 1500V 50W 150 °C ECG2331,6.0,B3C9,3.0,,,1.0,TRANSISTOR
,,D1880,NPN GRANDE 8A 1500V 70W 150 °C ECG2353,8.0,B3C9,4.0,,,1.0,TRANSISTOR
,,D1886,NPN GRANDE 8A 1500V 70W 150 °C ECG2324,8.0,B3C9,4.0,,,1.0,TRANSISTOR
,,D1944,NPN MEDIANO 3A 80V 30W 150 °C ECG56,5.0,B3C10,2.5,,,1.0,TRANSISTOR
,,D2012,NPN MEDIANO 3A 60V 25W 150 °C ECG54,5.0,B3C10,2.5,,,1.0,TRANSISTOR
,,D2058,NPN MEDIANO 3A 60V 25W 150 °C ECG377,5.0,B3C10,2.5,,,1.0,TRANSISTOR
,,D2061,NPN MEDIANO 3A 80V 30W 150 °C ECG152,4.0,B3C10,2.0,,,1.0,TRANSISTOR
,,D2089,NPN GRANDE 3.5A 1500V 40W 150 °C ECG2331,7.0,B3C10,3.5,,,1.0,TRANSISTOR
,,D2092,NPN MEDIANO 3A 100V 25W 150 °C NO TIENE ECG,8.0,B3C11,4.0,,,1.0,TRANSISTOR
,,D2095,NPN GRANDE 5A 15000V 50W 150 °C NO TIENE ECG,8.0,B3C11,4.0,,,1.0,TRANSISTOR
,,D20962,,10.0,A2A16,5.0,,,1.0,TRANSISTOR
,,D2102,NPN MEDIANO 4A 60V 25W 150 °C NO TIENE ECG,8.0,B3C11,4.0,,,1.0,TRANSISTOR
,,D2137,NPN MEDIANO 3A 60V 15W 150 °C NO TIENE ECG,5.0,B3C11,2.5,,,1.0,TRANSISTOR
,,D2144,NPN CHICO 0.5A 25V 0.3W 150 °C ECG2503,1.0,B3C12,0.5,,,1.0,TRANSISTOR
,,D2253,NPN GRANDE 6A 1700V 50W 150 °C ECG2678,8.0,B3C12,4.0,,,1.0,TRANSISTOR
,,D2263,NPN CHICO 0.5A 25V 0.5W 150 °C NO TIENE ECG,8.0,B3C12,4.0,,,1.0,TRANSISTOR
,,D2394,NPN MEDIANO 3A 80V 25W 150 °C ECG56,4.0,B3C12,2.0,,,1.0,TRANSISTOR
,,D2395,NPN MEDIANO 3A 60V 25W 150 °C ECG2673,4.0,B3C12,2.0,,,1.0,TRANSISTOR
,,D2396,NPN GRANDE 3A 80V 30W 150 °C ECG56,4.0,B3C13,2.0,,,1.0,TRANSISTOR
,,D2398,NPN MEDIANO 2A 100V 20W 150 °C NO TIENE ECG,5.0,B3C13,2.5,,,1.0,TRANSISTOR
,,D2439,NPN GRANDE 10A 160V 80W 150 °C ECG2649,7.0,B3C13,3.5,,,1.0,TRANSISTOR
,,D2495,NPN GRANDE 6A 110V 30W 150 °C ECG2693,3.0,B3C13,1.5,,,1.0,TRANSISTOR
,,D2498,NPN GRANDE 6A 1500V 50W 150 °C ECG2324,8.0,B3C14,4.0,,,1.0,TRANSISTOR
,,D2499,NPN GRANDE 6A 1500V 50W 150 °C ECG2331,7.0,B3C14,3.5,,,1.0,TRANSISTOR
,,D2539,NPN GRANDE 7A 1500V 50W 150 °C ECG2353,7.0,B3C14,3.5,,,1.0,TRANSISTOR
,,D2553,NPN GRANDE 12A 160V 80W 150 °C ECG2639,10.0,B3C14,5.0,,,1.0,TRANSISTOR
,,D2578,NPN GRANDE 8A 1500V 60W 150 °C ECG2353,8.0,B3C15,4.0,,,1.0,TRANSISTOR
,,D2580,NPN GRANDE 10A 1500V 70W 150 °C ECG2353,8.0,B3C15,4.0,,,1.0,TRANSISTOR
,,D2586,NPN GRANDE 5A 1500V 50W 150 °C ECG2353,8.0,B3C15,4.0,,,1.0,TRANSISTOR
,,D261,NPN CHICO 0.7A 40V 0.5W 125 °C,1.0,B3C1,0.5,,,1.0,TRANSISTOR
,,D2624,NPN GRANDE 6A 1500V 60W 150 °C ECG2353,8.0,B3D1,4.0,,,1.0,TRANSISTOR
,,D2627,NPN MEDIANO 6A 1500V 30W 150 °C ECG2640,6.0,B3D1,3.0,,,1.0,TRANSISTOR
,,D2634,NPN GRANDE 8A 1500V 65W 150 °C ECG2353,8.0,B3D1,4.0,,,1.0,TRANSISTOR
,,D2642,NPN MEDIANO 6A 110V 30W 150 °C,5.0,B3D2,2.5,,,1.0,TRANSISTOR
,,D2689,NPN MEDIANO 10A 1500V 35W 150 °C  NO TIENE ECG,6.0,B3D2,3.0,,,1.0,TRANSISTOR
,,D288,NPN MEDIANO 2A 80V 20W 150 °C  ECG196,3.0,B3C1,1.5,,,1.0,TRANSISTOR
,,D362,NPN MEDIANO 8A 150V 40W 175 °C ECG54,3.0,B3C1,1.5,,,1.0,TRANSISTOR
,,D368,NPN MEDIANO 10A 1300V 50W 150 °C,2.0,B3C1,1.0,,,1.0,TRANSISTOR
,,D390,NPN MEDIANO 3A 60V 25W 150 °C     ECG152,3.0,B3C1,1.5,,,1.0,TRANSISTOR
,,D400,NPN CHICO 1A 25V 0.75W 125 °C ECG382,2.0,B3C1,1.0,,,1.0,TRANSISTOR
,,D4050,NPN CHICO 0.1A 120V 0.3W 150 °C,3.0,B3B8,1.5,,,1.0,TRANSISTOR
,,D408,NPN MEDIANO 5A 150V 25W 150 °C,2.0,B3C2,1.0,,,1.0,TRANSISTOR
,,D468,NPN CHICO 0.5A 20V 0.9W 125 °C,2.0,B3C2,1.0,,,1.0,TRANSISTOR
,,D471,NPN CHICO 1A 30V 0.8W 150 °C ECG293,1.0,B3C2,0.5,,,1.0,TRANSISTOR
,,D4SB80Z05,,15.0,B2A13,7.5,,,1.0,TRANSISTOR
,,D5017,NPN GRANDE 6A 1500V 60W 150 °C NO TIENE ECG,8.0,B3D2,4.0,,,1.0,TRANSISTOR
,,D5023,NPN MEDIANO 6A 1500V 40W 150 °C  NO TIENE ECG,6.0,B3D2,3.0,,,1.0,TRANSISTOR
,,D5024,NPN GRANDE 6A 1500V 40W 150 °C  NO TIENE ECG,6.0,B3D3,3.0,,,1.0,TRANSISTOR
,,D5032,NPN GRANDE 8A 1500V 50W 150 °C NO TIENE ECG,10.0,B3D3,5.0,,,1.0,TRANSISTOR
,,D5036,NPN GRANDE 8A 1700V 50W 150 °C  NO TIENE ECG,9.0,B3D3,4.5,,,1.0,TRANSISTOR
,,D5038,NPN GRANDE 10A 1200V 50W 150 °C  NO TIENE ECG,8.0,B3D3,4.0,,,1.0,TRANSISTOR
,,D5071,NPN GRANDE 3.5A 1500V 50W 150 °C   NO TIENE ECG,7.0,B3D4,3.5,,,1.0,TRANSISTOR
,,D5072,NPN GRANDE 5A 1500V 60W 150 °C  ECG2331,7.0,B3D4,3.5,,,1.0,TRANSISTOR
,,D526,NPN MEDIANO 4A 80V 30W 150 °C ECG241,3.0,B3C2,1.5,,,1.0,TRANSISTOR
,,D5287,NPN GRANDE 5A 900V 50W 150 °C NO TIENE ECG,8.0,B3D4,4.0,,,1.0,TRANSISTOR
,,D5404,NO TIENE ECG,10.0,B3D5,5.0,,,1.0,TRANSISTOR
,,D5702,NPN GRANDE 6A 1500V 60W 150 °C  ECG2354,8.0,B3D5,4.0,,,1.0,TRANSISTOR
,,D5703,NPN GRANDE 10A 1500V 70W 150 °C ECG2677,8.0,B3D5,4.0,,,1.0,TRANSISTOR
,,D588,NPN MEDIANO 7A 150V 80W 150 °C,3.0,B3C2,1.5,,,1.0,TRANSISTOR
,,D613,NPN MEDIANO 6A 100V 40W 150 °C ECG377,3.0,B3C2,1.5,,,1.0,TRANSISTOR
,,D667,NPN CHICO 1A 80V 0.9W 150 °C ECG382,2.0,B3C2,1.0,,,1.0,TRANSISTOR
,,D669,NPN CHICO 1.5A 180V 1W 175 °C ECG373,2.0,B3C2,1.0,,,1.0,TRANSISTOR
,,D718,NPN GRANDE 8A 120V 80W 150 °C,8.0,B3C3,4.0,,,1.0,TRANSISTOR
,,D7723,NO TIENE ECG,3.0,B3D6,1.5,,,1.0,TRANSISTOR
,,D773,NPN CHICO 2A 20V 1W 150 °C ECG293,2.0,B3C3,1.0,,,1.0,TRANSISTOR
,,D789,NPN CHICO 1A 100V 0.9W 175 °C ECG315,3.0,B3C3,1.5,,,1.0,TRANSISTOR
,,D834,NPN MEDIANO 4A 250V 25W 150 °C,3.0,B3C3,1.5,,,1.0,TRANSISTOR
,,D847,NPN GRANDE 15A 40V 80W 150 °C ECG2304,7.0,B3C3,3.5,,,1.0,TRANSISTOR
,,D880,NPN MEDIANO 3A 60V 30W 150 °C ECG152,2.0,B3C3,1.0,,,1.0,TRANSISTOR
,,D882,NPN CHICO 3A 40V 10W 150 °C ECG184,2.0,B3C3,1.0,,,1.0,TRANSISTOR
,,D917,NPN GRANDE 7A 330V 70W 150 °C ECG2308,6.0,B3C4,3.0,,,1.0,TRANSISTOR
,,D965,NPN CHICO 5A 40V 0.75W 150 °C ECG11,1.0,B3C4,0.5,,,1.0,TRANSISTOR
,,DBL1011,,5.0,A2A14,2.5,,,1.0,TRANSISTOR
,,DBL1026,,5.0,A2A14,2.5,,,1.0,TRANSISTOR
,,DBL1034,,5.0,A2A15,2.5,,,1.0,TRANSISTOR
,,DBL2002,,10.0,A2A15,5.0,,,1.0,TRANSISTOR
,,DBL2018,,15.0,A2A15,7.5,,,1.0,TRANSISTOR
,,DBL494,,5.0,A2A14,2.5,,,1.0,TRANSISTOR
,,DBL567,,5.0,A2A14,2.5,,,1.0,TRANSISTOR
,,DCF1551,,28.0,A1,14.0,,,1.0,FLYBACK
,,DCF1577,,,A1,,,,1.0,FLYBACK
,,DCF2077,,26.0,A1,13.0,,,1.0,FLYBACK
,,DFF98020,,30.0,A1,15.0,,,1.0,FLYBACK
,,DH321,,10.0,A2A15,5.0,,,1.0,TRANSISTOR
,,DH391,,8.0,A2A15,4.0,,,1.0,TRANSISTOR
,,DM0265,,10.0,A2A15,5.0,,,1.0,TRANSISTOR
,,DM0365,,13.0,A2A15,6.5,,,1.0,TRANSISTOR
,,DM0465R,,20.0,A2A16,10.0,,,1.0,TRANSISTOR
,,DM7401,,5.0,B3B10,2.5,,,1.0,TRANSISTOR
,,DP104,,5.0,A2A16,2.5,,,1.0,TRANSISTOR
,,DP704,,,A2A16,,,,1.0,TRANSISTOR
,,DP804,,13.0,A2A16,6.5,,,1.0,TRANSISTOR
,,DP904,,4.0,A2A16,2.0,,,1.0,TRANSISTOR
,,DPM0017,,30.0,A2A16,15.0,,,1.0,TRANSISTOR
,,DT5NF20F,,,A1,,,,1.0,FLYBACK
,,ECG299,,3.0,B1D10,1.5,,,1.0,TRANSISTOR
,,ECG311,=M9599,1.0,B1D10,0.5,,,1.0,TRANSISTOR
,,ECG6087,,,A2A17,,,,1.0,TRANSISTOR
,,ECG68,,15.0,A2B12,7.5,,,1.0,TRANSISTOR
,,EI3003,,,A2A17,,,,1.0,TRANSISTOR
,,EI3005,,6.0,A2A17,3.0,,,1.0,TRANSISTOR
,,ES108,ECG243,2.0,B1D10,1.0,,,1.0,TRANSISTOR
,,F2D,,7.0,A2A17,3.5,,,1.0,TRANSISTOR
,,FA2017,,,A1,,,,1.0,FLYBACK
,,FCK1411E10A,,40.0,A1,20.0,,,1.0,FLYBACK
,,FCK1415JL,,26.0,A1,13.0,,,1.0,FLYBACK
,,FCM20A010M,,,A1,,,,1.0,FLYBACK
,,FCO14042,,36.0,A1,18.0,,,1.0,FLYBACK
,,FCO14A030C,,36.0,A1,18.0,,,1.0,FLYBACK
,,FCR25A001,,,A1,,,,1.0,FLYBACK
,,FCR29A001,,40.0,A1,20.0,,,1.0,FLYBACK
,,FCV1422L01,,30.0,A1,15.0,,,1.0,FLYBACK
,,FCZ29A001,,40.0,A1,20.0,,,1.0,FLYBACK
,,FFA61012K,,35.0,A1,17.5,,,1.0,FLYBACK
,,FKD15A006,,,A1,,,,1.0,FLYBACK
,,FKD15B002M,,36.0,A1,18.0,,,1.0,FLYBACK
,,FKG15A006,,35.0,A1,17.5,,,1.0,FLYBACK
,,FN1016,,10.0,A2A17,5.0,,,1.0,TRANSISTOR
,,FN6016,,,A2A17,,,,1.0,TRANSISTOR
,,FN651,,10.0,A2A17,5.0,,,1.0,TRANSISTOR
,,FQ50N06,,7.0,A2A,3.5,,,1.0,TRANSISTOR
,,FQA15A001,,30.0,A1,15.0,,,1.0,FLYBACK
,,FQM15A007,,30.0,A1,15.0,,,1.0,FLYBACK
,,FQM17A001,,30.0,A1,15.0,,,1.0,FLYBACK
,,FS10KM,,8.0,A2A18,4.0,,,1.0,INTEGRADO
,,FS5KM,,10.0,A2A18,5.0,,,1.0,INTEGRADO
,,FSA14A003,,36.0,A1,18.0,,,1.0,FLYBACK
,,FSA15A002,,38.0,A1,19.0,,,1.0,FLYBACK
,,FSA15A005,,25.0,A1,12.5,,,1.0,FLYBACK
,,FSA28014M,,26.0,A1,13.0,,,1.0,FLYBACK
,,FSA37012M,,40.0,A1,20.0,,,1.0,FLYBACK
